timestamp,soil_texture,scenario,r,last_r,kp,ki,irrigation_strategy,irrigation_frequency,irrigation,last_irrigation,et0,opt_avg,obs_avg,daily_pluv
2022-06-23 07:00:00,sandy,2022,-0.30341516520919526,-0.30341516520919526,-999,-999,GBRT,2,24,0,5.915965904891959,4.71830645976308,4.414891294553885,0.0
2022-06-24 07:00:00,sandy,2022,-0.746181385516732,-0.746181385516732,-1,-1,GBRT,2,0,24,5.717907755951627,4.71830645976308,3.9721250742463483,0.0
2022-06-25 07:00:00,sandy,2022,-0.5593358130029642,-0.5593358130029642,-999,-999,GBRT,2,20.349853872800626,0,9.203948870710635,4.71830645976308,4.158970646760116,0.0
2022-06-26 07:00:00,sandy,2022,-0.8261427278770923,-0.8261427278770923,-1,-1,GBRT,2,0,20.349853872800626,9.569797117975432,4.71830645976308,3.892163731885988,0.0
2022-06-27 07:00:00,sandy,2022,-0.6271379671236875,-0.6271379671236875,-999,-999,GBRT,2,0,0,8.693094774412245,4.71830645976308,4.091168492639393,0.0
2022-06-28 07:00:00,sandy,2022,-0.4352327849330369,-0.4352327849330369,-1,-1,GBRT,2,0,0,7.460713537351751,4.71830645976308,4.283073674830043,1.6
2022-06-29 07:00:00,sandy,2022,-0.384986381875255,-0.384986381875255,-999,-999,GBRT,2,0,0,1.8323231735051733,4.71830645976308,4.333320077887826,0.0
2022-06-30 07:00:00,sandy,2022,-0.21455038446985625,-0.21455038446985625,-1,-1,GBRT,2,0,0,6.425725286268609,4.71830645976308,4.503756075293224,0.0
2022-07-01 07:00:00,sandy,2022,-0.029024045272925153,-0.029024045272925153,-999,-999,GBRT,2,20.349853872800626,0,8.481182130641368,4.71830645976308,4.6892824144901555,0.0
2022-07-02 07:00:00,sandy,2022,-0.3784270707598177,-0.3784270707598177,-1,-1,GBRT,2,0,20.349853872800626,9.684100900879589,4.71830645976308,4.339879389003262,0.0
2022-07-03 07:00:00,sandy,2022,-0.17865183105291094,-0.17865183105291094,-999,-999,GBRT,2,20.349853872800626,0,7.875822878948619,4.71830645976308,4.539654628710169,0.0
2022-07-04 07:00:00,sandy,2022,-0.5285250223529652,-0.5285250223529652,-1,-1,GBRT,2,0,20.349853872800626,8.846129638751195,4.71830645976308,4.189781437410115,0.0
2022-07-05 07:00:00,sandy,2022,-0.2999817922500049,-0.2999817922500049,-999,-999,GBRT,2,24,0,8.353871892123982,4.71830645976308,4.418324667513075,0.0
2022-07-06 07:00:00,sandy,2022,-0.7236945216940459,-0.7236945216940459,-1,-1,GBRT,2,0,24,8.10868026961472,4.71830645976308,3.9946119380690344,0.0
2022-07-07 07:00:00,sandy,2022,-0.586674391958998,-0.586674391958998,-999,-999,GBRT,2,19.324327922600784,0,5.27960920736311,4.71830645976308,4.131632067804082,11.6
2022-07-08 07:00:00,sandy,2022,-1.0020280412882894,-1.0020280412882894,-1,-1,GBRT,2,0,19.324327922600784,7.275206390354677,4.71830645976308,3.716278418474791,0.0
2022-07-09 07:00:00,sandy,2022,-0.8805213882991832,-0.8805213882991832,-999,-999,GBRT,2,0,0,7.121172904786319,4.71830645976308,3.837785071463897,0.0
2022-07-10 07:00:00,sandy,2022,-0.6178509490368096,-0.6178509490368096,-1,-1,GBRT,2,0,0,7.612583271961939,4.71830645976308,4.10045551072627,0.0
2022-07-11 07:00:00,sandy,2022,-0.32190813705208604,-0.32190813705208604,-999,-999,GBRT,2,0,0,8.472336750464112,4.71830645976308,4.396398322710994,0.0
2022-07-12 07:00:00,sandy,2022,-0.10678421124920644,-0.10678421124920644,-1,-1,GBRT,2,0,0,7.4879930375083275,4.71830645976308,4.611522248513873,0.0
2022-07-13 07:00:00,sandy,2022,0.03198050634633395,0.03198050634633395,-999,-999,GBRT,2,17.14863348795175,0,5.439558555641069,4.71830645976308,4.750286966109414,0.0
2022-07-14 07:00:00,sandy,2022,-0.24880486896447582,-0.24880486896447582,-1,-1,GBRT,2,0,17.14863348795175,8.254676604732598,4.71830645976308,4.469501590798605,0.0
2022-07-15 07:00:00,sandy,2022,0.03191718494928085,0.03191718494928085,-999,-999,GBRT,2,20.349853872800626,0,9.447916516172471,4.71830645976308,4.750223644712361,0.0
2022-07-16 07:00:00,sandy,2022,-0.3411816429569357,-0.3411816429569357,-1,-1,GBRT,2,0,20.349853872800626,8.968687582898376,4.71830645976308,4.377124816806145,0.0
2022-07-17 07:00:00,sandy,2022,-0.10964818991117099,-0.10964818991117099,-999,-999,GBRT,2,24,0,7.701644419417017,4.71830645976308,4.608658269851909,0.0
2022-07-18 07:00:00,sandy,2022,-0.5816490358383848,-0.5816490358383848,-1,-1,GBRT,2,0,24,7.236620092977568,4.71830645976308,4.136657423924696,0.0
2022-07-19 07:00:00,sandy,2022,-0.3305833937398201,-0.3305833937398201,-999,-999,GBRT,2,21.371271451612824,0,7.976539558735554,4.71830645976308,4.38772306602326,0.0
2022-07-20 07:00:00,sandy,2022,-0.6247742368621696,-0.6247742368621696,-1,-1,GBRT,2,0,21.371271451612824,9.031637030513592,4.71830645976308,4.093532222900911,0.0
2022-07-21 07:00:00,sandy,2022,-0.3477314974089029,-0.3477314974089029,-999,-999,GBRT,2,20.349853872800626,0,8.523521442036436,4.71830645976308,4.370574962354177,0.0
