timestamp,soil_texture,scenario,r,last_r,kp,ki,irrigation_strategy,irrigation_frequency,irrigation,last_irrigation,et0,opt_avg,obs_avg,daily_pluv
2021-07-11 07:00:00,cloamy,2021,0.1540847297511718,0.1540847297511718,-999,-999,GBRT,1,7.668275895436537,0,7.909412676835701,4.71830645976308,4.872391189514252,0.0
2021-07-12 07:00:00,cloamy,2021,0.17316162847542038,0.17316162847542038,-999,-999,GBRT,1,9.420389526073127,7.668275895436537,8.171899400888595,4.71830645976308,4.891468088238501,0.0
2021-07-13 07:00:00,cloamy,2021,0.13702370704835687,0.13702370704835687,-999,-999,GBRT,1,9.007042266974992,9.420389526073127,7.307248568315713,4.71830645976308,4.855330166811437,49.2
2021-07-14 07:00:00,cloamy,2021,-0.43397049386973335,-0.43397049386973335,-999,-999,GBRT,1,6.373339837475764,9.007042266974992,3.7200181370317593,4.71830645976308,4.284335965893347,0.0
2021-07-15 07:00:00,cloamy,2021,-0.6527566523446066,-0.6527566523446066,-999,-999,GBRT,1,10.839986680442964,6.373339837475764,6.588938290136868,4.71830645976308,4.065549807418473,0.0
2021-07-16 07:00:00,cloamy,2021,-0.7794445471243379,-0.7794445471243379,-999,-999,GBRT,1,0,10.839986680442964,4.2070949143533625,4.71830645976308,3.9388619126387425,10.8
2021-07-17 07:00:00,cloamy,2021,-0.9374474859192223,-0.9374474859192223,-999,-999,GBRT,1,0,0,1.7206288405645938,4.71830645976308,3.780858973843858,0.8
2021-07-18 07:00:00,cloamy,2021,-1.0332280067537862,-1.0332280067537862,-999,-999,GBRT,1,0,0,2.3398193330169916,4.71830645976308,3.685078453009294,0.0
2021-07-19 07:00:00,cloamy,2021,-1.0298030541297567,-1.0298030541297567,-999,-999,GBRT,1,0,0,5.542148180411579,4.71830645976308,3.6885034056333237,0.0
2021-07-20 07:00:00,cloamy,2021,-0.9210332295288345,-0.9210332295288345,-999,-999,GBRT,1,0,0,6.336708517861463,4.71830645976308,3.797273230234246,0.0
2021-07-21 07:00:00,cloamy,2021,-0.7252887481344793,-0.7252887481344793,-999,-999,GBRT,1,0,0,7.723088615724408,4.71830645976308,3.993017711628601,0.0
2021-07-22 07:00:00,cloamy,2021,-0.5416111992183874,-0.5416111992183874,-999,-999,GBRT,1,0,0,6.384988487195638,4.71830645976308,4.176695260544693,0.0
2021-07-23 07:00:00,cloamy,2021,-0.3276342268818087,-0.3276342268818087,-999,-999,GBRT,1,0,0,6.724001721462045,4.71830645976308,4.390672232881272,0.0
2021-07-24 07:00:00,cloamy,2021,-0.10661012040228365,-0.10661012040228365,-999,-999,GBRT,1,6.122640871866816,0,6.639604206034317,4.71830645976308,4.611696339360797,0.0
2021-07-25 07:00:00,cloamy,2021,-0.015561192704404396,-0.015561192704404396,-999,-999,GBRT,1,7.162630730647262,6.122640871866816,6.068344799075018,4.71830645976308,4.702745267058676,0.0
2021-07-26 07:00:00,cloamy,2021,-0.024879865145467965,-0.024879865145467965,-999,-999,GBRT,1,11.057680530857347,7.162630730647262,3.7441148307248353,4.71830645976308,4.693426594617613,0.0
2021-07-27 07:00:00,cloamy,2021,-0.055958363634992,-0.055958363634992,-999,-999,GBRT,1,7.2457086590436655,11.057680530857347,5.25782491390273,4.71830645976308,4.662348096128088,1.0
2021-07-28 07:00:00,cloamy,2021,-0.10906329571380564,-0.10906329571380564,-999,-999,GBRT,1,7.4432574552095,7.2457086590436655,4.067188753317478,4.71830645976308,4.609243164049275,0.0
2021-07-29 07:00:00,cloamy,2021,-0.12167753371275597,-0.12167753371275597,-999,-999,GBRT,1,7.439991966157071,7.4432574552095,5.501441403272102,4.71830645976308,4.596628926050324,0.0
