timestamp,soil_texture,scenario,r,rOld,kp,ki,irrigation_strategy,irrigation_frequency,delta,deltaOld,et0,opt_avg,obs_avg,daily_pluv
1657695600,cloamy,2022,-0.016183186827344456,-0.0017648825670577455,12,3,SMARTER,1,5.648183811714444,5.869753023319918,5.439558555641069,4.71830645976308,4.729345613850233,0.0
1657782000,cloamy,2022,0.027524864897430553,-0.016183186827344456,12,3,SMARTER,1,6.2552550271040355,5.648183811714444,8.254676604732598,4.71830645976308,4.769325988843134,0.0
1657868400,cloamy,2022,0.08884588731888216,0.027524864897430553,12,3,SMARTER,1,7.257644958118101,6.2552550271040355,9.447916516172471,4.71830645976308,4.8297510209297485,0.0
1657954800,cloamy,2022,0.11909152436791763,0.08884588731888216,12,3,SMARTER,1,7.97786717581028,7.257644958118101,8.968687582898376,4.71830645976308,4.8644301090725985,0.0
1658041200,cloamy,2022,0.10586244368917104,0.11909152436791763,12,3,SMARTER,1,8.136705538732834,7.97786717581028,7.701644419417017,4.71830645976308,4.858509518036861,0.0
1658127600,cloamy,2022,0.076594096180497,0.10586244368917104,12,3,SMARTER,1,8.015267657170236,8.136705538732834,7.236620092977568,4.71830645976308,4.835812066982128,0.0
1658214000,cloamy,2022,0.06413283963718093,0.076594096180497,12,3,SMARTER,1,8.058131097561986,8.015267657170236,7.976539558735554,4.71830645976308,4.8252719197094125,0.0
1658300400,cloamy,2022,0.07437080109047173,0.06413283963718093,12,3,SMARTER,1,8.404099038272891,8.058131097561986,9.031637030513592,4.71830645976308,4.835387927081181,0.0
1658386800,cloamy,2022,0.06686362927813765,0.07437080109047173,12,3,SMARTER,1,8.514603864359295,8.404099038272891,8.523521442036436,4.71830645976308,4.830973314961832,0.0
1655967600,cloamy,2022,-0.33161566858612057,0,12,3,SMARTER,3,0,0,5.915965904891959,4.71830645976308,4.386690791176959,0.0
1656054000,cloamy,2022,-0.2564229202880146,-0.33161566858612057,12,3,SMARTER,3,0,0,5.717907755951627,4.71830645976308,4.461883539475066,0.0
1656140400,cloamy,2022,-0.11878611099465455,-0.33161566858612057,12,3,SMARTER,3,0,0,9.203948870710635,4.71830645976308,4.599520348768426,0.0
1656226800,cloamy,2022,0.03226908248887721,-0.33161566858612057,12,3,SMARTER,3,4.463424260366605,0,9.569797117975432,4.71830645976308,4.7505755422519576,0.0
1656313200,cloamy,2022,0.11489345545554408,0.03226908248887721,12,3,SMARTER,3,0,4.463424260366605,8.693094774412245,4.71830645976308,4.833199915218624,0.0
1656399600,cloamy,2022,0.224755690914591,0.03226908248887721,12,3,SMARTER,3,0,4.463424260366605,7.460713537351751,4.71830645976308,4.9430621506776715,1.6
1656486000,cloamy,2022,0.2557059308818247,0.03226908248887721,12,3,SMARTER,3,7.911784233727449,4.463424260366605,1.8323231735051733,4.71830645976308,4.974012390644905,0.0
1656572400,cloamy,2022,0.23155505779434132,0.2557059308818247,12,3,SMARTER,3,0,7.911784233727449,6.425725286268609,4.71830645976308,4.951666740945157,0.0
1656658800,cloamy,2022,0.3403478261858787,0.2557059308818247,12,3,SMARTER,3,0,7.911784233727449,8.481182130641368,4.71830645976308,5.058654285948959,0.0
1656745200,cloamy,2022,0.472435826034082,0.2557059308818247,12,3,SMARTER,3,11.929850453656783,7.911784233727449,9.684100900879589,4.71830645976308,5.190742285797162,0.0
1656831600,cloamy,2022,0.3747581798320929,0.472435826034082,12,3,SMARTER,3,0,11.929850453656783,7.875822878948619,4.71830645976308,5.104055379658024,0.0
1656918000,cloamy,2022,0.4698608713050329,0.472435826034082,12,3,SMARTER,3,0,11.929850453656783,8.846129638751195,4.71830645976308,5.188167331068113,0.0
1657004400,cloamy,2022,0.5752368051847498,0.472435826034082,12,3,SMARTER,3,14.889172619019048,11.929850453656783,8.353871892123982,4.71830645976308,5.2935432649478305,0.0
1657090800,cloamy,2022,0.4145156214024518,0.5752368051847498,12,3,SMARTER,3,0,14.889172619019048,8.10868026961472,4.71830645976308,5.158906066063769,0.0
1657177200,cloamy,2022,0.45184182832060865,0.5752368051847498,12,3,SMARTER,3,0,14.889172619019048,5.27960920736311,4.71830645976308,5.170148288083689,11.6
1657263600,cloamy,2022,0.5282736458207204,0.5752368051847498,12,3,SMARTER,3,15.910435644112857,14.889172619019048,7.275206390354677,4.71830645976308,5.246580105583801,0.0
1657350000,cloamy,2022,0.30911736082979835,0.5282736458207204,12,3,SMARTER,3,0,15.910435644112857,7.121172904786319,4.71830645976308,5.076038474289227,0.0
1657436400,cloamy,2022,0.37032635470556075,0.5282736458207204,12,3,SMARTER,3,0,15.910435644112857,7.612583271961939,4.71830645976308,5.089673589629937,0.0
1657522800,cloamy,2022,0.48007338316183273,0.5282736458207204,12,3,SMARTER,3,16.772252641691704,15.910435644112857,8.472336750464112,4.71830645976308,5.198379842924913,0.0
1657609200,cloamy,2022,0.30189839284798076,0.48007338316183273,12,3,SMARTER,3,0,16.772252641691704,7.4879930375083275,4.71830645976308,5.070130195365973,0.0
