timestamp,wind_speed
1625961600,1.98
1625965200,4.14
1625968800,4.68
1625972400,0.0
1625976000,4.5
1625979600,1.44
1625983200,4.32
1625986800,4.5
1625990400,4.86
1625994000,5.94
1625997600,3.06
1626001200,7.92
1626004800,7.74
1626008400,7.2
1626012000,7.74
1626015600,4.5
1626019200,5.22
1626022800,5.94
1626026400,5.04
1626030000,0.72
1626033600,2.88
1626037200,3.24
1626040800,2.16
1626044400,3.42
1626048000,0.0
1626051600,1.44
1626055200,5.22
1626058800,3.96
1626062400,3.6
1626066000,3.24
1626069600,5.4
1626073200,1.44
1626076800,3.78
1626080400,2.7
1626084000,7.92
1626087600,7.02
1626091200,7.38
1626094800,8.82
1626098400,7.2
1626102000,5.4
1626105600,6.12
1626109200,5.76
1626112800,1.08
1626116400,1.08
1626120000,0.0
1626123600,0.9
1626127200,1.26
1626130800,1.08
1626134400,1.8
1626138000,4.86
1626141600,2.7
1626145200,1.08
1626148800,1.44
1626152400,2.34
1626156000,4.5
1626159600,2.88
1626163200,0.54
1626166800,3.96
1626170400,6.12
1626174000,6.3
1626177600,7.2
1626181200,4.68
1626184800,4.14
1626188400,5.76
1626192000,3.78
1626195600,3.24
1626199200,4.32
1626202800,3.78
1626206400,2.7
1626210000,0.0
1626213600,1.44
1626217200,8.28
1626220800,4.32
1626224400,6.48
1626228000,2.52
1626231600,0.0
1626235200,0.72
1626238800,2.34
1626242400,3.78
1626246000,6.48
1626249600,1.62
1626253200,5.94
1626256800,6.84
1626260400,8.28
1626264000,11.16
1626267600,9.0
1626271200,9.72
1626274800,9.54
1626278400,7.74
1626282000,8.46
1626285600,7.2
1626289200,7.92
1626292800,9.18
1626296400,5.4
1626300000,3.06
1626303600,1.62
1626307200,2.16
1626310800,0.18
1626314400,2.88
1626318000,0.0
1626321600,0.0
1626325200,1.98
1626328800,3.6
1626332400,5.58
1626336000,4.86
1626339600,3.78
1626343200,1.8
1626346800,4.14
1626350400,4.14
1626354000,1.62
1626357600,0.54
1626361200,0.9
1626364800,1.26
1626368400,3.6
1626372000,1.26
1626375600,0.0
1626379200,0.0
1626382800,2.34
1626386400,4.32
1626390000,3.6
1626393600,1.62
1626397200,2.52
1626400800,0.0
1626404400,0.0
1626408000,1.98
1626411600,2.88
1626415200,0.72
1626418800,0.36
1626422400,2.88
1626426000,0.0
1626429600,0.0
1626433200,0.0
