x,y,z,value
0.00,0.0,0.2,-20.8
0.25,0.0,0.2,-136.3
0.50,0.0,0.2,-142.4
0.80,0.0,0.2,-783.3
0.00,0.0,0.4,-22.2
0.25,0.0,0.4,-26.5
0.50,0.0,0.4,-807.3
0.80,0.0,0.4,-610.9
0.00,0.0,0.6,-604.8
0.25,0.0,0.6,-648.3
0.50,0.0,0.6,-626.7
0.80,0.0,0.6,-383.4
