timestamp,scenario_id,r,rOld,kp,ki,delta,deltaOld,et0,opt_avg,obs_avg,daily_pluv
1625986800,2021,0.26006297399719985,0,17.184881692135612,3,5.249340362638419,0,7.909412676835701,4.71830645976308,4.97836943376028,0.0
1626073200,2021,0.3475782364099352,0.26006297399719985,17.184881692135612,3,7.796014502687284,5.249340362638419,8.171899400888595,4.71830645976308,5.065884696173016,0.0
1626159600,2021,0.31960175913917505,0.3475782364099352,17.184881692135612,3,8.274047328044075,7.796014502687284,7.307248568315713,4.71830645976308,5.037908218902255,49.2
1626246000,2021,-0.8105428370006367,0.31960175913917505,17.184881692135612,3,0,8.274047328044075,3.7200181370317593,4.71830645976308,4.016260318229906,0.0
1626332400,2021,-0.6197541125568331,-0.8105428370006367,17.184881692135612,3,0,0,6.588938290136868,4.71830645976308,4.0985523472062475,0.0
1626418800,2021,-0.46533934295867746,-0.6197541125568331,17.184881692135612,3,0,1.4194193200897267,4.2070949143533625,4.71830645976308,4.2529671168044025,10.799999999999999
1626505200,2021,-0.5906509647051583,-0.46533934295867746,17.184881692135612,3,0,2.6770008382763772,1.7206288405645938,4.71830645976308,4.127655495057922,0.8
1626591600,2021,-0.5385591589763791,-0.5906509647051583,17.184881692135612,3,0,0,2.3398193330169916,4.71830645976308,4.179747300786701,0.0
1626678000,2021,-0.31215462622187734,-0.5385591589763791,17.184881692135612,3,0,0,5.542148180411579,4.71830645976308,4.406151833541203,0.0
1626764400,2021,-0.04670228635663252,-0.31215462622187734,17.184881692135612,3,7.375931427698631,2.9542712312837223,6.336708517861463,4.71830645976308,4.671604173406448,0.0
1626850800,2021,0.05886849601108579,-0.04670228635663252,17.184881692135612,3,9.366758320867323,7.375931427698631,7.723088615724408,4.71830645976308,4.777174955774166,0.0
1626937200,2021,0.032898348318565675,0.05886849601108579,17.184881692135612,3,9.019159450199773,9.366758320867323,6.384988487195638,4.71830645976308,4.755690555982354,0.0
1627023600,2021,0.0009369636959839689,0.032898348318565675,17.184881692135612,3,8.472717727831816,9.019159450199773,6.724001721462045,4.71830645976308,4.727729930770991,0.0
1627110000,2021,-0.03295998941510142,0.0009369636959839689,17.184881692135612,3,7.79132263064864,8.472717727831816,6.639604206034317,4.71830645976308,4.693346053352049,0.0
1627196400,2021,-0.06909601780871925,-0.03295998941510142,17.184881692135612,3,6.963041204454506,7.79132263064864,6.068344799075018,4.71830645976308,4.655224344590565,0.0
1627282800,2021,-0.14511307536153797,-0.06909601780871925,17.184881692135612,3,5.221357837740439,6.963041204454506,3.7441148307248353,4.71830645976308,4.57777428933446,0.0
1627369200,2021,-0.12110106670301171,-0.14511307536153797,17.184881692135612,3,5.270698165618714,5.221357837740439,5.25782491390273,4.71830645976308,4.597205393060069,1.0
1627455600,2021,-0.13571176207918126,-0.12110106670301171,17.184881692135612,3,4.612479807901863,5.270698165618714,4.067188753317478,4.71830645976308,4.582594697683899,0.0
1627542000,2021,-0.07662675934081245,-0.13571176207918126,17.184881692135612,3,5.397968311717802,4.612479807901863,5.501441403272102,4.71830645976308,4.641679700422268,0.0
1627628400,2021,0.026999038266503066,-0.07662675934081245,17.184881692135612,3,7.2597624986522185,5.397968311717802,7.363960029273559,4.71830645976308,4.745305498029583,0.0
1627714800,2021,0.09111303480912268,0.026999038266503066,17.184881692135612,3,8.634893048474495,7.2597624986522185,8.127164249908118,4.71830645976308,4.809480563297714,0.0
1627801200,2021,0.033042437676411233,0.09111303480912268,17.184881692135612,3,7.736084019986413,8.634893048474495,7.011084171391055,4.71830645976308,4.778480214922836,9.0
1627887600,2021,-0.06693259509785676,0.033042437676411233,17.184881692135612,3,5.817227124299667,7.736084019986413,7.304828236834061,4.71830645976308,4.660392205358709,0.0
1627974000,2021,-0.028085001172191284,-0.06693259509785676,17.184881692135612,3,6.400563426419781,5.817227124299667,7.320018177389831,4.71830645976308,4.690229960850582,0.0
1628060400,2021,0.04941705952966042,-0.028085001172191284,17.184881692135612,3,7.880678349066796,6.400563426419781,8.239496207860649,4.71830645976308,4.7677235192927405,0.0
1628146800,2021,-0.027304855881855206,0.04941705952966042,17.184881692135612,3,6.480306741880299,7.880678349066796,4.198759507591638,4.71830645976308,4.6951933434076345,0.0
1628233200,2021,0.05569372417500328,-0.027304855881855206,17.184881692135612,3,8.073708693297668,6.480306741880299,8.25634687060054,4.71830645976308,4.7740001839380835,0.0
1628319600,2021,0.07412627209510127,0.05569372417500328,17.184881692135612,3,8.612848664874475,8.073708693297668,7.823891414052509,4.71830645976308,4.795353133564297,0.0
1628406000,2021,0.04313193436999271,0.07412627209510127,17.184881692135612,3,8.209610441052366,8.612848664874475,6.8058425683475985,4.71830645976308,4.769323566293333,0.0
1628492400,2021,0.056919101570560134,0.04313193436999271,17.184881692135612,3,8.61729858297549,8.209610441052366,8.235329351972808,4.71830645976308,4.780401149928363,0.0
1655967600,2022,-0.28419365969528876,0,17.184881692135612,3,0,0,5.915965904891959,4.71830645976308,4.434112800067791,0.0
1656054000,2022,-0.1451497080834284,-0.28419365969528876,17.184881692135612,3,1.954004734206564,0,5.717907755951627,4.71830645976308,4.573156751679652,0.0
1656140400,2022,0.024957999393880454,-0.1451497080834284,17.184881692135612,3,4.95215956030617,1.954004734206564,9.203948870710635,4.71830645976308,4.74326445915696,0.0
1656226800,2022,0.11401693110445894,0.024957999393880454,17.184881692135612,3,6.824677558693824,4.95215956030617,9.569797117975432,4.71830645976308,4.832323390867539,0.0
