x,y,z,value
0.00,0.0,0.2,-22.5
0.25,0.0,0.2,-21.4
0.50,0.0,0.2,-168.5
0.80,0.0,0.2,-497.8
0.00,0.0,0.4,-21.3
0.25,0.0,0.4,-22.5
0.50,0.0,0.4,-201.3
0.80,0.0,0.4,-296.8
0.00,0.0,0.6,-65.2
0.25,0.0,0.6,-49.9
0.50,0.0,0.6,-195.4
0.80,0.0,0.6,-112.1
