timestamp,wind_speed
1687474800,8.64
1687478400,4.86
1687482000,2.7
1687485600,0.0
1687489200,0.72
1687492800,0.72
1687496400,0.54
1687500000,4.14
1687503600,4.86
1687507200,3.24
1687510800,4.68
1687514400,4.32
1687518000,7.02
1687521600,5.4
1687525200,5.76
1687528800,9.72
1687532400,8.28
1687536000,6.3
1687539600,4.14
1687543200,0.0
1687546800,0.0
1687550400,0.54
1687554000,1.62
1687557600,1.8
1687561200,0.0
1687564800,2.52
1687568400,4.32
1687572000,1.98
1687575600,2.52
1687579200,2.16
1687582800,2.16
1687586400,2.88
1687590000,6.66
1687593600,5.04
1687597200,7.38
1687600800,10.62
1687604400,6.12
1687608000,10.08
1687611600,10.62
1687615200,8.28
1687618800,10.08
1687622400,10.44
1687626000,2.34
1687629600,0.0
1687633200,0.0
1687636800,0.0
1687640400,0.18
1687644000,0.0
1687647600,1.8
1687651200,2.88
1687654800,3.42
1687658400,3.24
1687662000,2.16
1687665600,4.86
1687669200,2.34
1687672800,0.36
1687676400,2.52
1687680000,0.9
1687683600,1.8
1687687200,6.48
1687690800,3.24
1687694400,3.78
1687698000,3.96
1687701600,6.12
1687705200,5.22
1687708800,5.4
1687712400,3.24
1687716000,0.0
1687719600,1.62
1687723200,1.62
1687726800,4.14
1687730400,5.04
1687734000,2.52
1687737600,5.22
1687741200,5.22
1687744800,5.4
1687748400,4.5
1687752000,5.22
1687755600,5.4
1687759200,5.22
1687762800,2.34
1687766400,2.16
1687770000,5.76
1687773600,6.48
1687777200,6.48
1687780800,4.14
1687784400,3.6
1687788000,7.2
1687791600,4.68
1687795200,6.66
1687798800,2.7
1687802400,0.0
1687806000,0.0
1687809600,1.26
1687813200,2.52
1687816800,5.22
1687820400,4.86
1687824000,4.86
1687827600,4.86
1687831200,5.76
1687834800,4.32
1687838400,5.4
1687842000,6.84
1687845600,5.22
1687849200,2.88
1687852800,1.98
1687856400,1.98
1687860000,5.04
1687863600,5.94
1687867200,6.84
1687870800,6.84
1687874400,7.38
1687878000,5.58
1687881600,6.66
1687885200,4.5
1687888800,2.52
1687892400,3.06
1687896000,5.4
1687899600,6.84
1687903200,2.88
1687906800,0.0
1687910400,4.14
1687914000,0.54
1687917600,0.0
1687921200,0.0
1687924800,0.0
1687928400,0.0
1687932000,0.0
1687935600,0.0
1687939200,3.6
1687942800,5.22
1687946400,5.58
1687950000,5.04
1687953600,7.92
1687957200,6.3
1687960800,10.08
1687964400,6.12
1687968000,5.58
1687971600,3.42
1687975200,0.72
1687978800,0.0
1687982400,0.0
1687986000,0.0
1687989600,0.18
1687993200,1.62
1687996800,0.9
1688000400,1.8
1688004000,2.52
1688007600,1.08
1688011200,2.52
1688014800,2.7
1688018400,0.18
1688022000,7.56
1688025600,7.38
1688029200,5.04
1688032800,6.48
1688036400,8.64
1688040000,7.56
1688043600,5.76
1688047200,11.34
1688050800,11.7
1688054400,10.44
1688058000,9.0
1688061600,1.26
1688065200,0.0
1688068800,0.0
1688072400,1.98
1688076000,0.54
1688079600,1.62
1688083200,3.96
1688086800,0.36
1688090400,3.06
1688094000,1.98
1688097600,2.7
1688101200,2.7
1688104800,0.0
1688108400,0.0
1688112000,3.06
1688115600,1.62
1688119200,6.12
1688122800,1.8
1688126400,2.16
