timestamp,soil_texture,scenario,r,last_r,kp,ki,irrigation_strategy,irrigation_frequency,irrigation,last_irrigation,et0,opt_avg,obs_avg,daily_pluv
2021-07-11 07:00:00,cloamy,2021,0.1540847297511718,0.1540847297511718,-999,-999,GBRT,3,36,0,7.909412676835701,4.71830645976308,4.872391189514252,0.0
2021-07-12 07:00:00,cloamy,2021,-0.058613245673819356,-0.058613245673819356,-1,-1,GBRT,3,0,36,8.171899400888595,4.71830645976308,4.659693214089261,0.0
2021-07-13 07:00:00,cloamy,2021,-0.22493331882083764,-0.22493331882083764,-1,-1,GBRT,3,0,0,7.307248568315713,4.71830645976308,4.493373140942243,49.2
2021-07-14 07:00:00,cloamy,2021,-0.665919541271477,-0.665919541271477,-999,-999,GBRT,3,18.42073824746678,0,3.7200181370317593,4.71830645976308,4.052386918491603,0.0
2021-07-15 07:00:00,cloamy,2021,-0.8746427652950682,-0.8746427652950682,-1,-1,GBRT,3,0,18.42073824746678,6.588938290136868,4.71830645976308,3.8436636944680123,0.0
2021-07-16 07:00:00,cloamy,2021,-1.0023193558572245,-1.0023193558572245,-1,-1,GBRT,3,0,0,4.2070949143533625,4.71830645976308,3.7159871039058556,10.8
2021-07-17 07:00:00,cloamy,2021,-1.1271252574029835,-1.1271252574029835,-999,-999,GBRT,3,0,0,1.7206288405645938,4.71830645976308,3.591181202360097,0.8
2021-07-18 07:00:00,cloamy,2021,-1.2115197107583893,-1.2115197107583893,-1,-1,GBRT,3,0,0,2.3398193330169916,4.71830645976308,3.506786749004691,0.0
2021-07-19 07:00:00,cloamy,2021,-1.1966979758938814,-1.1966979758938814,-1,-1,GBRT,3,0,0,5.542148180411579,4.71830645976308,3.521608483869199,0.0
2021-07-20 07:00:00,cloamy,2021,-1.0794418366814587,-1.0794418366814587,-999,-999,GBRT,3,0,0,6.336708517861463,4.71830645976308,3.6388646230816217,0.0
2021-07-21 07:00:00,cloamy,2021,-0.8790313502872131,-0.8790313502872131,-1,-1,GBRT,3,0,0,7.723088615724408,4.71830645976308,3.8392751094758673,0.0
2021-07-22 07:00:00,cloamy,2021,-0.6931446115204368,-0.6931446115204368,-1,-1,GBRT,3,0,0,6.384988487195638,4.71830645976308,4.025161848242644,0.0
2021-07-23 07:00:00,cloamy,2021,-0.4768458447424441,-0.4768458447424441,-999,-999,GBRT,3,0,0,6.724001721462045,4.71830645976308,4.241460615020636,0.0
2021-07-24 07:00:00,cloamy,2021,-0.24999158621941445,-0.24999158621941445,-1,-1,GBRT,3,0,0,6.639604206034317,4.71830645976308,4.468314873543666,0.0
2021-07-25 07:00:00,cloamy,2021,-0.03783536921969165,-0.03783536921969165,-1,-1,GBRT,3,0,0,6.068344799075018,4.71830645976308,4.680471090543389,0.0
2021-07-26 07:00:00,cloamy,2021,0.09530412996536286,0.09530412996536286,-999,-999,GBRT,3,36,0,3.7441148307248353,4.71830645976308,4.813610589728443,0.0
2021-07-27 07:00:00,cloamy,2021,-0.2158575667456964,-0.2158575667456964,-1,-1,GBRT,3,0,36,5.25782491390273,4.71830645976308,4.502448893017384,1.0
2021-07-28 07:00:00,cloamy,2021,-0.3165815090034108,-0.3165815090034108,-1,-1,GBRT,3,0,0,4.067188753317478,4.71830645976308,4.40172495075967,0.0
2021-07-29 07:00:00,cloamy,2021,-0.24593065625407784,-0.24593065625407784,-999,-999,GBRT,3,33.18446500221133,0,5.501441403272102,4.71830645976308,4.472375803509002,0.0
2021-07-30 07:00:00,cloamy,2021,-0.3255529580454189,-0.3255529580454189,-1,-1,GBRT,3,0,33.18446500221133,7.363960029273559,4.71830645976308,4.392753501717661,0.0
2021-07-31 07:00:00,cloamy,2021,-0.3913511474015419,-0.3913511474015419,-1,-1,GBRT,3,0,0,8.127164249908118,4.71830645976308,4.326955312361538,0.0
2021-08-01 07:00:00,cloamy,2021,-0.34793464394606793,-0.34793464394606793,-999,-999,GBRT,3,36,0,7.011084171391055,4.71830645976308,4.370371815817013,9.0
2021-08-02 07:00:00,cloamy,2021,-0.478419681702002,-0.478419681702002,-1,-1,GBRT,3,0,36,7.304828236834061,4.71830645976308,4.239886778061078,0.0
2021-08-03 07:00:00,cloamy,2021,-0.6498760107269003,-0.6498760107269003,-1,-1,GBRT,3,0,0,7.320018177389831,4.71830645976308,4.06843044903618,0.0
2021-08-04 07:00:00,cloamy,2021,-0.6423507635951751,-0.6423507635951751,-999,-999,GBRT,3,32.29189213772779,0,8.239496207860649,4.71830645976308,4.075955696167905,0.0
2021-08-05 07:00:00,cloamy,2021,-0.7244370226358418,-0.7244370226358418,-1,-1,GBRT,3,0,32.29189213772779,4.198759507591638,4.71830645976308,3.9938694371272385,0.0
2021-08-06 07:00:00,cloamy,2021,-0.7942530387205439,-0.7942530387205439,-1,-1,GBRT,3,0,0,8.25634687060054,4.71830645976308,3.9240534210425366,0.0
2021-08-07 07:00:00,cloamy,2021,-0.7720357841797079,-0.7720357841797079,-999,-999,GBRT,3,36,0,7.823891414052509,4.71830645976308,3.9462706755833725,0.0
2021-08-08 07:00:00,cloamy,2021,-0.8003210149202495,-0.8003210149202495,-1,-1,GBRT,3,0,36,6.8058425683475985,4.71830645976308,3.917985444842831,0.0
2021-08-09 07:00:00,cloamy,2021,-0.8696844255872977,-0.8696844255872977,-1,-1,GBRT,3,0,0,8.235329351972808,4.71830645976308,3.8486220341757824,0.0
