timestamp,scenario_id,r,rOld,kp,ki,delta,deltaOld,et0,opt_avg,obs_avg,daily_pluv
1625986800,2021,0.22279779625051407,0,8.88724540627475,3,2.6484520800070612,0,7.909412676835701,4.71830645976308,4.9411042560135945,0.0
1626073200,2021,0.34985337557825963,0.22279779625051407,8.88724540627475,3,4.827186320463924,2.6484520800070612,8.171899400888595,4.71830645976308,5.06815983534134,0.0
1626159600,2021,0.3709388884835093,0.34985337557825963,8.88724540627475,3,6.1273951136205795,4.827186320463924,7.307248568315713,4.71830645976308,5.08924534824659,49.2
1626246000,2021,-1.0109425377091175,0.3709388884835093,8.88724540627475,3,0,6.1273951136205795,3.7200181370317593,4.71830645976308,3.734658047271108,0.0
1626332400,2021,-0.8164667698986672,-1.0109425377091175,8.88724540627475,3,0,0,6.588938290136868,4.71830645976308,3.901839689864413,0.0
1626418800,2021,-0.6412218560042189,-0.8164667698986672,8.88724540627475,3,0,0,4.2070949143533625,4.71830645976308,4.077084603758862,10.799999999999999
1626505200,2021,-0.7985571659506678,-0.6412218560042189,8.88724540627475,3,0,0,1.7206288405645938,4.71830645976308,3.9197492938124125,0.8
1626591600,2021,-0.7400999117519564,-0.7985571659506678,8.88724540627475,3,0,0,2.3398193330169916,4.71830645976308,3.9782065480111237,0.0
1626678000,2021,-0.48454720291380576,-0.7400999117519564,8.88724540627475,3,0,0,5.542148180411579,4.71830645976308,4.233759256849274,0.0
1626764400,2021,-0.23054667540239354,-0.48454720291380576,8.88724540627475,3,0,0.8175180289415065,6.336708517861463,4.71830645976308,4.487759784360687,0.0
1626850800,2021,0.017687367532614566,-0.23054667540239354,8.88724540627475,3,4.642421984404491,2.3832430240514872,7.723088615724408,4.71830645976308,4.735993827295695,0.0
1626937200,2021,0.08075578708852119,0.017687367532614566,8.88724540627475,3,5.445193867649294,4.642421984404491,6.384988487195638,4.71830645976308,4.7990622468516015,0.0
1627023600,2021,0.11760193640419614,0.08075578708852119,8.88724540627475,3,6.125460448106528,5.445193867649294,6.724001721462045,4.71830645976308,4.835908396167277,0.0
1627110000,2021,0.11966896742364161,0.11760193640419614,8.88724540627475,3,6.502837562309647,6.125460448106528,6.639604206034317,4.71830645976308,4.837975427186722,0.0
1627196400,2021,0.08845678060134668,0.11966896742364161,8.88724540627475,3,6.490817540157457,6.502837562309647,6.068344799075018,4.71830645976308,4.806763240364427,0.0
1627282800,2021,-0.0039179578444625005,0.08845678060134668,8.88724540627475,3,5.658106696715721,6.490817540157457,3.7441148307248353,4.71830645976308,4.714388501918617,0.0
1627369200,2021,-0.017207692977389288,-0.0039179578444625005,8.88724540627475,3,5.488374480272841,5.658106696715721,5.25782491390273,4.71830645976308,4.701098766785691,1.0
1627455600,2021,-0.06811922746750874,-0.017207692977389288,8.88724540627475,3,4.8315534968466025,5.488374480272841,4.067188753317478,4.71830645976308,4.650187232295571,0.0
1627542000,2021,-0.03844603620076151,-0.06811922746750874,8.88724540627475,3,4.979928321019229,4.8315534968466025,5.501441403272102,4.71830645976308,4.679860423562319,0.0
1627628400,2021,0.05320702070352965,-0.03844603620076151,8.88724540627475,3,5.954092592073518,4.979928321019229,7.363960029273559,4.71830645976308,4.77151348046661,0.0
1627714800,2021,0.12708885762544642,0.05320702070352965,8.88724540627475,3,6.991965180741302,5.954092592073518,8.127164249908118,4.71830645976308,4.845395317388527,0.0
1627801200,2021,0.09942880207555772,0.12708885762544642,8.88724540627475,3,7.044429885344923,6.991965180741302,7.011084171391055,4.71830645976308,4.817735261838638,9.0
1627887600,2021,-0.05624902689092137,0.09942880207555772,8.88724540627475,3,5.492135734330991,7.044429885344923,7.304828236834061,4.71830645976308,4.6620574328721585,0.0
1627974000,2021,-0.026563742106640035,-0.05624902689092137,8.88724540627475,3,5.676264918844132,5.492135734330991,7.320018177389831,4.71830645976308,4.691742717656441,0.0
1628060400,2021,0.05015164790512241,-0.026563742106640035,8.88724540627475,3,6.508508360032111,5.676264918844132,8.239496207860649,4.71830645976308,4.768458107668202,0.0
1628146800,2021,-0.021235018426808725,0.05015164790512241,8.88724540627475,3,5.810372482323961,6.508508360032111,4.198759507591638,4.71830645976308,4.697071441336272,0.0
1628233200,2021,0.0663781129213019,-0.021235018426808725,8.88724540627475,3,6.7881462201907095,5.810372482323961,8.25634687060054,4.71830645976308,4.784684572684382,0.0
1628319600,2021,0.09373780048913835,0.0663781129213019,8.88724540627475,3,7.312511879312491,6.7881462201907095,7.823891414052509,4.71830645976308,4.812044260252218,0.0
1628406000,2021,0.07003143516598734,0.09373780048913835,8.88724540627475,3,7.311921898492808,7.312511879312491,6.8058425683475985,4.71830645976308,4.788337894929067,0.0
1628492400,2021,0.088264764584743,0.07003143516598734,8.88724540627475,3,7.738760265364967,7.311921898492808,8.235329351972808,4.71830645976308,4.806571224347823,0.0
1655967600,2022,-0.30341516520919526,0,8.88724540627475,3,0,0,5.915965904891959,4.71830645976308,4.414891294553885,0.0
1656054000,2022,-0.16819340711649616,-0.30341516520919526,8.88724540627475,3,0.6971687270882472,0,5.717907755951627,4.71830645976308,4.5501130526465845,0.0
1656140400,2022,0.026805224044160837,-0.16819340711649616,8.88724540627475,3,2.5105850882331433,0.6971687270882472,9.203948870710635,4.71830645976308,4.745111683807241,0.0
1656226800,2022,0.15160545998498462,0.026805224044160837,8.88724540627475,3,4.074531791755188,2.5105850882331433,9.569797117975432,4.71830645976308,4.8699119197480645,0.0
1656313200,2022,0.19940990370189893,0.15160545998498462,8.88724540627475,3,5.097611325683552,4.074531791755188,8.693094774412245,4.71830645976308,4.917716363464979,0.0
1656399600,2022,0.18686676989718204,0.19940990370189893,8.88724540627475,3,5.546737727088838,5.097611325683552,7.460713537351751,4.71830645976308,4.905173229660262,1.6
