x,y,z,value
0.00,0.0,0.2,-22.2
0.25,0.0,0.2,-23.1
0.50,0.0,0.2,-57.1
0.80,0.0,0.2,-342.5
0.00,0.0,0.4,-81.2
0.25,0.0,0.4,-24.9
0.50,0.0,0.4,-171.4
0.80,0.0,0.4,-247.6
0.00,0.0,0.6,-20.8
0.25,0.0,0.6,-21.3
0.50,0.0,0.6,-31.1
0.80,0.0,0.6,-145.1
