Unnamed: 0,timestamp,soil_texture,scenario,r,rOld,kp,ki,irrigation_strategy,irrigation_frequency,delta,deltaOld,et0,opt_avg,obs_avg,daily_pluv,last_r,last_irrigation,datetime
,1626418800.0,silty,2021,-0.6825134514169341,,-999.0,-999.0,GBRT,1,0.0,,4.2070949143533625,4.71830645976308,4.035793008346146,10.8,-0.6825134514169341,0.0,2021-07-16 07:00:00
,1626505200.0,silty,2021,-0.8072205424502473,,-999.0,-999.0,GBRT,1,0.0,,1.7206288405645938,4.71830645976308,3.9110859173128327,0.8,-0.8072205424502473,0.0,2021-07-17 07:00:00
,1626591600.0,silty,2021,-0.7350563118099565,,-999.0,-999.0,GBRT,1,0.0,,2.339819333016992,4.71830645976308,3.983250147953124,0.0,-0.7350563118099565,0.0,2021-07-18 07:00:00
,1626678000.0,silty,2021,-0.5007722252413526,,-999.0,-999.0,GBRT,1,0.0,,5.542148180411579,4.71830645976308,4.217534234521728,0.0,-0.5007722252413526,0.0,2021-07-19 07:00:00
,1626764400.0,silty,2021,-0.2271365828005293,,-999.0,-999.0,GBRT,1,0.0,,6.336708517861463,4.71830645976308,4.491169876962551,0.0,-0.2271365828005293,0.0,2021-07-20 07:00:00
,1626850800.0,silty,2021,0.0759344366528288,,-999.0,-999.0,GBRT,1,7.404540163050502,,7.723088615724408,4.71830645976308,4.794240896415909,0.0,0.0759344366528288,0.0,2021-07-21 07:00:00
,1626937200.0,silty,2021,0.1058817965087693,,-999.0,-999.0,GBRT,1,7.4048979789202845,,6.384988487195638,4.71830645976308,4.824188256271849,0.0,0.1058817965087693,7.404540163050502,2021-07-22 07:00:00
,1627023600.0,silty,2021,0.1278691392156564,,-999.0,-999.0,GBRT,1,7.085400965826051,,6.724001721462045,4.71830645976308,4.8461755989787365,0.0,0.1278691392156564,7.4048979789202845,2021-07-23 07:00:00
,1627110000.0,silty,2021,0.1375637350861268,,-999.0,-999.0,GBRT,1,7.510221755179401,,6.639604206034317,4.71830645976308,4.855870194849207,0.0,0.1375637350861268,7.085400965826051,2021-07-24 07:00:00
,1627196400.0,silty,2021,0.1132798845470743,,-999.0,-999.0,GBRT,1,7.28317535791574,,6.068344799075018,4.71830645976308,4.831586344310154,0.0,0.1132798845470743,7.510221755179401,2021-07-25 07:00:00
,1627282800.0,silty,2021,0.0277865072524925,,-999.0,-999.0,GBRT,1,11.057680530857349,,3.7441148307248353,4.71830645976308,4.7460929670155725,0.0,0.0277865072524925,7.28317535791574,2021-07-26 07:00:00
,1627369200.0,silty,2021,-0.0620946363610191,,-999.0,-999.0,GBRT,1,7.2457086590436655,,5.25782491390273,4.71830645976308,4.656211823402061,1.0,-0.0620946363610191,11.057680530857349,2021-07-27 07:00:00
,1627455600.0,silty,2021,-0.1837296041436585,,-999.0,-999.0,GBRT,1,7.4432574552095,,4.067188753317478,4.71830645976308,4.534576855619422,0.0,-0.1837296041436585,7.2457086590436655,2021-07-28 07:00:00
