"date","fieldName","sectorName","yy","value"
"2020-06-12 00:00:00","Fondo ERRANO","T0",-20,-386.631557438702
"2020-06-12 00:00:00","Fondo ERRANO","T0",-60,-551.882496046785
"2020-06-13 00:00:00","Fondo ERRANO","T0",-20,-395.397934299817
"2020-06-13 00:00:00","Fondo ERRANO","T0",-60,-543.98629412741
"2020-06-14 00:00:00","Fondo ERRANO","T0",-20,-210.489161316874
"2020-06-14 00:00:00","Fondo ERRANO","T0",-60,-377.888752835426
"2020-06-15 00:00:00","Fondo ERRANO","T0",-60,-381.644110207874
"2020-06-15 00:00:00","Fondo ERRANO","T0",-20,-198.275723002632
"2020-06-16 00:00:00","Fondo ERRANO","T0",-60,-147.167645277839
"2020-06-16 00:00:00","Fondo ERRANO","T0",-20,-133.41216500387
"2020-06-17 00:00:00","Fondo ERRANO","T0",-20,-138.063567340826
"2020-06-17 00:00:00","Fondo ERRANO","T0",-60,-310.104072863936
"2020-06-18 00:00:00","Fondo ERRANO","T0",-20,-140.363447157618
"2020-06-18 00:00:00","Fondo ERRANO","T0",-60,-366.494807422934
"2020-06-19 00:00:00","Fondo ERRANO","T0",-60,-393.990452895358
"2020-06-19 00:00:00","Fondo ERRANO","T0",-20,-148.207986033665
"2020-06-20 00:00:00","Fondo ERRANO","T0",-60,-403.286958207005
"2020-06-20 00:00:00","Fondo ERRANO","T0",-20,-151.493499274055
"2020-06-21 00:00:00","Fondo ERRANO","T0",-20,-153.444439620511
"2020-06-21 00:00:00","Fondo ERRANO","T0",-60,-401.663805155311
"2020-06-22 00:00:00","Fondo ERRANO","T0",-20,-151.954125334282
"2020-06-22 00:00:00","Fondo ERRANO","T0",-60,-408.415385780439
"2020-06-23 00:00:00","Fondo ERRANO","T0",-60,-419.953597520386
"2020-06-23 00:00:00","Fondo ERRANO","T0",-20,-156.753044371317
"2020-06-24 00:00:00","Fondo ERRANO","T0",-20,-159.199449231902
"2020-06-24 00:00:00","Fondo ERRANO","T0",-60,-416.408881255178
"2020-06-25 00:00:00","Fondo ERRANO","T0",-20,-161.0421808716
"2020-06-25 00:00:00","Fondo ERRANO","T0",-60,-413.609122814405
"2020-06-26 00:00:00","Fondo ERRANO","T0",-60,-415.657930229258
"2020-06-26 00:00:00","Fondo ERRANO","T0",-20,-164.495079029443
"2020-06-27 00:00:00","Fondo ERRANO","T0",-60,-424.243218364341
"2020-06-27 00:00:00","Fondo ERRANO","T0",-20,-167.449004374242
"2020-06-28 00:00:00","Fondo ERRANO","T0",-60,-415.117165128745
"2020-06-28 00:00:00","Fondo ERRANO","T0",-20,-176.775236774677
"2020-06-29 00:00:00","Fondo ERRANO","T0",-20,-181.306824910269
"2020-06-29 00:00:00","Fondo ERRANO","T0",-60,-416.469590180642
"2020-06-30 00:00:00","Fondo ERRANO","T0",-20,-188.489405230767
"2020-06-30 00:00:00","Fondo ERRANO","T0",-60,-422.642934878306
"2020-07-01 00:00:00","Fondo ERRANO","T0",-60,-422.782151238669
"2020-07-01 00:00:00","Fondo ERRANO","T0",-20,-197.783220565813
"2020-07-02 00:00:00","Fondo ERRANO","T0",-20,-214.786013402253
"2020-07-02 00:00:00","Fondo ERRANO","T0",-60,-425.536781894187
"2020-07-03 00:00:00","Fondo ERRANO","T0",-20,-219.480020052117
"2020-07-03 00:00:00","Fondo ERRANO","T0",-60,-441.216375285982
"2020-07-04 00:00:00","Fondo ERRANO","T0",-20,-222.609697222711
"2020-07-04 00:00:00","Fondo ERRANO","T0",-60,-440.063526478818
"2020-07-05 00:00:00","Fondo ERRANO","T0",-60,-419.294001061683
"2020-07-05 00:00:00","Fondo ERRANO","T0",-20,-229.38390325228
"2020-07-06 00:00:00","Fondo ERRANO","T0",-20,-236.107717002061
"2020-07-06 00:00:00","Fondo ERRANO","T0",-60,-429.282686052664
"2020-07-07 00:00:00","Fondo ERRANO","T0",-20,-241.099981365864
"2020-07-07 00:00:00","Fondo ERRANO","T0",-60,-428.206772437521
"2020-07-08 00:00:00","Fondo ERRANO","T0",-60,-428.622855146395
"2020-07-08 00:00:00","Fondo ERRANO","T0",-20,-254.983071650504
"2020-07-09 00:00:00","Fondo ERRANO","T0",-20,-260.735296820614
"2020-07-09 00:00:00","Fondo ERRANO","T0",-60,-442.149232677135
"2020-07-10 00:00:00","Fondo ERRANO","T0",-20,-265.871391125755
"2020-07-10 00:00:00","Fondo ERRANO","T0",-60,-456.289073600057
"2020-07-11 00:00:00","Fondo ERRANO","T0",-60,-451.031976848798
"2020-07-11 00:00:00","Fondo ERRANO","T0",-20,-268.032001047338
"2020-07-12 00:00:00","Fondo ERRANO","T0",-60,-424.578716380908
"2020-07-12 00:00:00","Fondo ERRANO","T0",-20,-273.691680375802
"2020-07-13 00:00:00","Fondo ERRANO","T0",-20,-296.586792654759
"2020-07-13 00:00:00","Fondo ERRANO","T0",-60,-440.634247580274
"2020-07-14 00:00:00","Fondo ERRANO","T0",-60,-461.903876970136
"2020-07-14 00:00:00","Fondo ERRANO","T0",-20,-310.026885742509
"2020-07-15 00:00:00","Fondo ERRANO","T0",-20,-317.210190585436
"2020-07-15 00:00:00","Fondo ERRANO","T0",-60,-470.543318643947
"2020-07-16 00:00:00","Fondo ERRANO","T0",-60,-469.375374933189
"2020-07-16 00:00:00","Fondo ERRANO","T0",-20,-321.733551612431
"2020-07-17 00:00:00","Fondo ERRANO","T0",-20,-323.412637638281
"2020-07-17 00:00:00","Fondo ERRANO","T0",-60,-463.99567332945
"2020-07-18 00:00:00","Fondo ERRANO","T0",-60,-381.407307030427
"2020-07-18 00:00:00","Fondo ERRANO","T0",-20,-328.792090070123
"2020-07-19 00:00:00","Fondo ERRANO","T0",-20,-347.453158599155
"2020-07-19 00:00:00","Fondo ERRANO","T0",-60,-439.385744869837
"2020-07-20 00:00:00","Fondo ERRANO","T0",-20,-383.207144783737
"2020-07-20 00:00:00","Fondo ERRANO","T0",-60,-462.62866665278
"2020-07-21 00:00:00","Fondo ERRANO","T0",-20,-455.537185360519
"2020-07-21 00:00:00","Fondo ERRANO","T0",-60,-468.846031450894
"2020-07-22 00:00:00","Fondo ERRANO","T0",-20,-529.173054009201
"2020-07-22 00:00:00","Fondo ERRANO","T0",-60,-476.004680995842
"2020-07-23 00:00:00","Fondo ERRANO","T0",-60,-473.136268108074
"2020-07-23 00:00:00","Fondo ERRANO","T0",-20,-549.615203434152
"2020-07-24 00:00:00","Fondo ERRANO","T0",-60,-294.793407920311
"2020-07-24 00:00:00","Fondo ERRANO","T0",-20,-529.601648662898
"2020-07-25 00:00:00","Fondo ERRANO","T0",-20,-513.293588565244
"2020-07-25 00:00:00","Fondo ERRANO","T0",-60,-322.750573148939
"2020-07-26 00:00:00","Fondo ERRANO","T0",-20,-635.004577311544
"2020-07-26 00:00:00","Fondo ERRANO","T0",-60,-463.660407183108
"2020-07-27 00:00:00","Fondo ERRANO","T0",-60,-521.139169932281
"2020-07-27 00:00:00","Fondo ERRANO","T0",-20,-685.64888288355
"2020-07-28 00:00:00","Fondo ERRANO","T0",-60,-595.073387749997
"2020-07-28 00:00:00","Fondo ERRANO","T0",-20,-719.06319332925
"2020-07-29 00:00:00","Fondo ERRANO","T0",-20,-743.06966413636
"2020-07-29 00:00:00","Fondo ERRANO","T0",-60,-648.866311373778
"2020-07-30 00:00:00","Fondo ERRANO","T0",-20,-740.885014927083
"2020-07-30 00:00:00","Fondo ERRANO","T0",-60,-680.021291916792
"2020-07-31 00:00:00","Fondo ERRANO","T0",-20,-702.967678128276
"2020-07-31 00:00:00","Fondo ERRANO","T0",-60,-555.691654364264
"2020-08-01 00:00:00","Fondo ERRANO","T0",-60,-521.476255598327
"2020-08-01 00:00:00","Fondo ERRANO","T0",-20,-671.615421010849
"2020-08-02 00:00:00","Fondo ERRANO","T0",-60,-671.048511068803
"2020-08-02 00:00:00","Fondo ERRANO","T0",-20,-718.279027318233
"2020-08-03 00:00:00","Fondo ERRANO","T0",-60,-698.562378679568
"2020-08-03 00:00:00","Fondo ERRANO","T0",-20,-708.498371933502
"2020-08-04 00:00:00","Fondo ERRANO","T0",-60,-465.64270091596
"2020-08-04 00:00:00","Fondo ERRANO","T0",-20,-518.63813588713
"2020-08-05 00:00:00","Fondo ERRANO","T0",-60,-272.417624963385
"2020-08-05 00:00:00","Fondo ERRANO","T0",-20,-358.665318331495
"2020-08-06 00:00:00","Fondo ERRANO","T0",-60,-398.977764786203
"2020-08-06 00:00:00","Fondo ERRANO","T0",-20,-329.782031107781
"2020-08-07 00:00:00","Fondo ERRANO","T0",-60,-620.6031434685
"2020-08-07 00:00:00","Fondo ERRANO","T0",-20,-322.592656956186
"2020-08-08 00:00:00","Fondo ERRANO","T0",-60,-792.831201068923
"2020-08-08 00:00:00","Fondo ERRANO","T0",-20,-567.776066654487
"2020-08-09 00:00:00","Fondo ERRANO","T0",-60,-853.133241026433
"2020-08-09 00:00:00","Fondo ERRANO","T0",-20,-711.294070153612
"2020-08-10 00:00:00","Fondo ERRANO","T0",-20,-691.188174568135
"2020-08-10 00:00:00","Fondo ERRANO","T0",-60,-838.89547035479
"2020-08-11 00:00:00","Fondo ERRANO","T0",-60,-847.345222384309
"2020-08-11 00:00:00","Fondo ERRANO","T0",-20,-629.604138392473
"2020-08-12 00:00:00","Fondo ERRANO","T0",-20,-535.490968355355
"2020-08-12 00:00:00","Fondo ERRANO","T0",-60,-864.812266760775
"2020-08-13 00:00:00","Fondo ERRANO","T0",-20,-442.736793816385
"2020-08-13 00:00:00","Fondo ERRANO","T0",-60,-843.752732234213
"2020-08-14 00:00:00","Fondo ERRANO","T0",-20,-418.173270754205
"2020-08-14 00:00:00","Fondo ERRANO","T0",-60,-847.671918115795
"2020-08-15 00:00:00","Fondo ERRANO","T0",-60,-818.111126181094
"2020-08-15 00:00:00","Fondo ERRANO","T0",-20,-388.027614201197
"2020-08-16 00:00:00","Fondo ERRANO","T0",-20,-336.220210621444
"2020-08-16 00:00:00","Fondo ERRANO","T0",-60,-782.095481094511
"2020-08-17 00:00:00","Fondo ERRANO","T0",-20,-321.871194627084
"2020-08-17 00:00:00","Fondo ERRANO","T0",-60,-715.499549795564
"2020-08-18 00:00:00","Fondo ERRANO","T0",-20,-187.469848264814
"2020-08-18 00:00:00","Fondo ERRANO","T0",-60,-406.617108109139
"2020-08-19 00:00:00","Fondo ERRANO","T0",-20,-20.8280223886781
"2020-08-19 00:00:00","Fondo ERRANO","T0",-60,-72.4706407399735
"2020-08-20 00:00:00","Fondo ERRANO","T0",-60,-667.231139309993
"2020-08-20 00:00:00","Fondo ERRANO","T0",-20,-24.1232614523806
"2020-08-21 00:00:00","Fondo ERRANO","T0",-20,-35.0603503115906
"2020-08-21 00:00:00","Fondo ERRANO","T0",-60,-1275.6945450219
"2020-08-22 00:00:00","Fondo ERRANO","T0",-60,-1325.91942004541
"2020-08-22 00:00:00","Fondo ERRANO","T0",-20,-74.5266271528594
"2020-08-23 00:00:00","Fondo ERRANO","T0",-20,-110.395052801216
"2020-08-23 00:00:00","Fondo ERRANO","T0",-60,-1362.24929204654
"2020-08-24 00:00:00","Fondo ERRANO","T0",-20,-109.966759953518
"2020-08-24 00:00:00","Fondo ERRANO","T0",-60,-1389.24775591238
"2020-08-25 00:00:00","Fondo ERRANO","T0",-20,-105.543588160475
"2020-08-25 00:00:00","Fondo ERRANO","T0",-60,-1392.72565322123
"2020-08-26 00:00:00","Fondo ERRANO","T0",-20,-121.61170263986
"2020-08-26 00:00:00","Fondo ERRANO","T0",-60,-979.680296307099
"2020-08-27 00:00:00","Fondo ERRANO","T0",-60,-147.01005494868
"2020-08-27 00:00:00","Fondo ERRANO","T0",-20,-139.629066342265
"2020-08-28 00:00:00","Fondo ERRANO","T0",-60,-144.305545118812
"2020-08-28 00:00:00","Fondo ERRANO","T0",-20,-153.238079677397
"2020-08-29 00:00:00","Fondo ERRANO","T0",-20,-160.781317766715
"2020-08-29 00:00:00","Fondo ERRANO","T0",-60,-139.88155988244
"2020-08-30 00:00:00","Fondo ERRANO","T0",-60,-152.725855340467
"2020-08-30 00:00:00","Fondo ERRANO","T0",-20,-160.850655894
"2020-08-31 00:00:00","Fondo ERRANO","T0",-20,-162.386516667556
"2020-08-31 00:00:00","Fondo ERRANO","T0",-60,-118.134670031531
"2020-09-01 00:00:00","Fondo ERRANO","T0",-60,-99.3985303371678
"2020-09-01 00:00:00","Fondo ERRANO","T0",-20,-156.263404080135
"2020-09-02 00:00:00","Fondo ERRANO","T0",-20,-161.779745089474
"2020-09-02 00:00:00","Fondo ERRANO","T0",-60,-127.013166986441
"2020-09-03 00:00:00","Fondo ERRANO","T0",-60,-146.077558723823
"2020-09-03 00:00:00","Fondo ERRANO","T0",-20,-154.511672923694
"2020-09-04 00:00:00","Fondo ERRANO","T0",-20,-136.608598644329
"2020-09-04 00:00:00","Fondo ERRANO","T0",-60,-153.085940777463
"2020-09-05 00:00:00","Fondo ERRANO","T0",-60,-161.887161987484
"2020-09-05 00:00:00","Fondo ERRANO","T0",-20,-101.702334291895
