"date","fieldName","sectorName","detectedValueTypeId","value"
"2021-04-05 00:00:00","Fondo ERRANO","T0","SOLAR_RAD",231.467391304348
"2021-04-05 00:00:00","Fondo ERRANO","T0","AIR_TEMP",9.68354166666666
"2021-04-05 00:00:00","Fondo ERRANO","T0","BIG",-2.11783948557217
"2021-04-06 00:00:00","Fondo ERRANO","T0","BIP",7.17505941256418
"2021-04-06 00:00:00","Fondo ERRANO","T0","WIND_SPEED",6.36
"2021-04-06 00:00:00","Fondo ERRANO","T0","SOLAR_RAD",30.570652173913
"2021-04-06 00:00:00","Fondo ERRANO","T0","AIR_TEMP",7.54645833333334
"2021-04-06 00:00:00","Fondo ERRANO","T0","ET0",0.217264774441852
"2021-04-06 00:00:00","Fondo ERRANO","T0","WIND_DIRECTION",176.979166666667
"2021-04-06 00:00:00","Fondo ERRANO","T0","WIND_GUST_MAX",10.89
"2021-04-06 00:00:00","Fondo ERRANO","T0","AIR_HUM",74.8625
"2021-04-06 00:00:00","Fondo ERRANO","T0","BIG",30.0827352255581
"2021-04-06 00:00:00","Fondo ERRANO","T0","BATTERY_TENS",3444.75
"2021-04-07 00:00:00","Fondo ERRANO","T0","SOLAR_RAD",169.673913043478
"2021-04-07 00:00:00","Fondo ERRANO","T0","AIR_TEMP",4.79520833333333
"2021-04-07 00:00:00","Fondo ERRANO","T0","BATTERY_TENS",3445.79166666667
"2021-04-07 00:00:00","Fondo ERRANO","T0","ET0",1.11944601668363
"2021-04-07 00:00:00","Fondo ERRANO","T0","WIND_DIRECTION",229.729166666667
"2021-04-07 00:00:00","Fondo ERRANO","T0","BIG",-0.51944601668363
"2021-04-07 00:00:00","Fondo ERRANO","T0","BIP",6.65561339588055
"2021-04-07 00:00:00","Fondo ERRANO","T0","WIND_SPEED",4.2
"2021-04-07 00:00:00","Fondo ERRANO","T0","WIND_GUST_MAX",7.6275
"2021-04-07 00:00:00","Fondo ERRANO","T0","AIR_HUM",75.2104166666667
"2021-04-08 00:00:00","Fondo ERRANO","T0","SOLAR_RAD",227.934782608696
"2021-04-08 00:00:00","Fondo ERRANO","T0","WIND_DIRECTION",207.666666666667
"2021-04-08 00:00:00","Fondo ERRANO","T0","BATTERY_TENS",3447.66666666667
"2021-04-08 00:00:00","Fondo ERRANO","T0","BIP",4.60546630458559
"2021-04-08 00:00:00","Fondo ERRANO","T0","ET0",2.05014709129496
"2021-04-08 00:00:00","Fondo ERRANO","T0","WIND_SPEED",7.035
"2021-04-08 00:00:00","Fondo ERRANO","T0","WIND_GUST_MAX",11.4825
"2021-04-08 00:00:00","Fondo ERRANO","T0","AIR_HUM",51.7333333333334
"2021-04-08 00:00:00","Fondo ERRANO","T0","AIR_TEMP",8.99583333333333
"2021-04-08 00:00:00","Fondo ERRANO","T0","BIG",-2.05014709129496
"2021-04-09 00:00:00","Fondo ERRANO","T0","SOLAR_RAD",230.751811594203
"2021-04-09 00:00:00","Fondo ERRANO","T0","WIND_SPEED",4.7625
"2021-04-09 00:00:00","Fondo ERRANO","T0","BIG",-2.15297033594733
"2021-04-09 00:00:00","Fondo ERRANO","T0","AIR_TEMP",11.8045833333333
"2021-04-09 00:00:00","Fondo ERRANO","T0","WIND_DIRECTION",202.083333333333
"2021-04-09 00:00:00","Fondo ERRANO","T0","BIP",2.45249596863826
"2021-04-09 00:00:00","Fondo ERRANO","T0","AIR_HUM",58.0416666666667
"2021-04-09 00:00:00","Fondo ERRANO","T0","ET0",2.15297033594733
"2021-04-09 00:00:00","Fondo ERRANO","T0","BATTERY_TENS",3446.77083333333
"2021-04-09 00:00:00","Fondo ERRANO","T0","WIND_GUST_MAX",7.9725
"2021-04-10 00:00:00","Fondo ERRANO","T0","AIR_HUM",76.9708333333333
"2021-04-10 00:00:00","Fondo ERRANO","T0","WIND_DIRECTION",183.291666666667
"2021-04-10 00:00:00","Fondo ERRANO","T0","BIP",3.38458720953734
"2021-04-10 00:00:00","Fondo ERRANO","T0","SOLAR_RAD",104.655797101449
"2021-04-10 00:00:00","Fondo ERRANO","T0","ET0",0.867908759100922
"2021-04-10 00:00:00","Fondo ERRANO","T0","WIND_SPEED",2.535
"2021-04-10 00:00:00","Fondo ERRANO","T0","WIND_GUST_MAX",4.74
"2021-04-10 00:00:00","Fondo ERRANO","T0","BIG",0.932091240899077
"2021-04-10 00:00:00","Fondo ERRANO","T0","AIR_TEMP",10.5141666666667
"2021-04-10 00:00:00","Fondo ERRANO","T0","BATTERY_TENS",3438.14583333333
"2021-04-11 00:00:00","Fondo ERRANO","T0","ET0",0.525674176039163
"2021-04-11 00:00:00","Fondo ERRANO","T0","BATTERY_TENS",3439.5625
"2021-04-11 00:00:00","Fondo ERRANO","T0","WIND_GUST_MAX",3.2475
"2021-04-11 00:00:00","Fondo ERRANO","T0","BIP",4.65891303349818
"2021-04-11 00:00:00","Fondo ERRANO","T0","AIR_HUM",90.6875
"2021-04-11 00:00:00","Fondo ERRANO","T0","BIG",1.27432582396084
"2021-04-11 00:00:00","Fondo ERRANO","T0","WIND_DIRECTION",182.854166666667
"2021-04-11 00:00:00","Fondo ERRANO","T0","WIND_SPEED",1.74
"2021-04-11 00:00:00","Fondo ERRANO","T0","AIR_TEMP",11.3829166666667
"2021-04-11 00:00:00","Fondo ERRANO","T0","SOLAR_RAD",72.1195652173913
"2021-04-12 00:00:00","Fondo ERRANO","T0","BIP",16.750068535052
"2021-04-12 00:00:00","Fondo ERRANO","T0","WIND_DIRECTION",120.041666666667
"2021-04-12 00:00:00","Fondo ERRANO","T0","WIND_GUST_MAX",3.6075
"2021-04-12 00:00:00","Fondo ERRANO","T0","BATTERY_TENS",3456.35416666667
"2021-04-12 00:00:00","Fondo ERRANO","T0","AIR_HUM",91.5872340425532
"2021-04-12 00:00:00","Fondo ERRANO","T0","SOLAR_RAD",77.2802960222017
"2021-04-12 00:00:00","Fondo ERRANO","T0","ET0",0.508844498446191
"2021-04-12 00:00:00","Fondo ERRANO","T0","BIG",12.0911555015538
"2021-04-12 00:00:00","Fondo ERRANO","T0","WIND_SPEED",1.4475
"2021-04-12 00:00:00","Fondo ERRANO","T0","AIR_TEMP",12.5512765957447
"2021-04-13 00:00:00","Fondo ERRANO","T0","WIND_GUST_MAX",10.185
"2021-04-13 00:00:00","Fondo ERRANO","T0","ET0",0.284126051659916
"2021-04-13 00:00:00","Fondo ERRANO","T0","SOLAR_RAD",59.4384057971014
"2021-04-13 00:00:00","Fondo ERRANO","T0","BATTERY_TENS",3450.20833333333
"2021-04-13 00:00:00","Fondo ERRANO","T0","BIG",29.1158739483401
"2021-04-13 00:00:00","Fondo ERRANO","T0","WIND_DIRECTION",196.416666666667
"2021-04-13 00:00:00","Fondo ERRANO","T0","BIP",45.8659424833921
"2021-04-13 00:00:00","Fondo ERRANO","T0","AIR_HUM",94.775
"2021-04-13 00:00:00","Fondo ERRANO","T0","AIR_TEMP",7.27145833333333
"2021-04-13 00:00:00","Fondo ERRANO","T0","WIND_SPEED",6.57
"2021-04-14 00:00:00","Fondo ERRANO","T0","BIG",-1.24689882614202
"2021-04-14 00:00:00","Fondo ERRANO","T0","BATTERY_TENS",3452.83333333333
"2021-04-14 00:00:00","Fondo ERRANO","T0","BIP",44.6190436572501
"2021-04-14 00:00:00","Fondo ERRANO","T0","WIND_GUST_MAX",8.31
"2021-04-14 00:00:00","Fondo ERRANO","T0","AIR_TEMP",7.72916666666667
"2021-04-14 00:00:00","Fondo ERRANO","T0","SOLAR_RAD",223.813405797101
"2021-04-14 00:00:00","Fondo ERRANO","T0","WIND_SPEED",5.0325
"2021-04-14 00:00:00","Fondo ERRANO","T0","AIR_HUM",79.20625
"2021-04-14 00:00:00","Fondo ERRANO","T0","ET0",1.54689882614202
"2021-04-14 00:00:00","Fondo ERRANO","T0","WIND_DIRECTION",156.270833333333
"2021-04-15 00:00:00","Fondo ERRANO","T0","WIND_SPEED",5.25
"2021-04-15 00:00:00","Fondo ERRANO","T0","AIR_HUM",82.15625
"2021-04-15 00:00:00","Fondo ERRANO","T0","AIR_TEMP",5.82479166666667
"2021-04-15 00:00:00","Fondo ERRANO","T0","BATTERY_TENS",3441.5625
"2021-04-15 00:00:00","Fondo ERRANO","T0","ET0",0.671033660468031
"2021-04-15 00:00:00","Fondo ERRANO","T0","WIND_DIRECTION",172.604166666667
"2021-04-15 00:00:00","Fondo ERRANO","T0","SOLAR_RAD",103.894927536232
"2021-04-15 00:00:00","Fondo ERRANO","T0","BIP",45.148009996782
"2021-04-15 00:00:00","Fondo ERRANO","T0","WIND_GUST_MAX",8.1975
"2021-04-15 00:00:00","Fondo ERRANO","T0","BIG",0.528966339531968
"2021-04-16 00:00:00","Fondo ERRANO","T0","ET0",1.36315298835679
"2021-04-16 00:00:00","Fondo ERRANO","T0","BIP",44.3848570084252
